"hour_stump","datacenter_id","pm_26973_freq","pm_26973_mw","pm_26973_kw","pm_26974_freq","pm_26974_mw","pm_26974_kw","pm_74059_freq","pm_74059_mw","pm_74059_kw","usd","temp_f","rel_humidity"
2021-10-10 08:40:00.000,5,,26.224884,,,27.838284,,,54.063034,,30.03,,
2021-10-13 15:10:00.000,5,,26.751316,,,28.114468,,,54.866318,,77.75,,
2021-10-21 04:50:00.000,5,,25.988367,,,27.8397,,,53.828316,,35.475,,
2021-10-23 05:45:00.000,5,,26.590666,,,27.604633,,,54.195316,,49.09,,
2021-10-14 20:15:00.000,5,,26.694633,,,28.085817,,,54.780483,,,,
2021-10-13 09:40:00.000,5,,26.64265,,,27.9766,,,54.619335,,28.95,,
2021-10-12 02:20:00.000,5,,26.17085,,,28.1283,,,54.29862,,36.7,,
2021-10-20 21:25:00.000,5,,26.336216,,,28.3356,,,54.671318,,74.25,,
2021-10-03 03:00:00.000,5,,26.570217,,,28.448317,,,55.01877,,57.13,,
2021-10-30 13:50:00.000,5,,26.1281,,,26.86235,,,52.9904,,34.97,,
2021-10-25 12:35:00.000,5,,26.421284,,,27.720133,,,54.141983,,73.79,,
2021-10-18 03:05:00.000,5,,25.37075,,,27.168633,,,52.5418,,31.28,,
2021-10-11 22:45:00.000,5,,26.510695,,,28.393373,,,54.90266,,63.24,,
2021-10-22 07:45:00.000,5,,26.293848,,,27.87544,,,54.169323,,27.38,,
2021-10-31 01:25:00.000,5,,26.046333,,,27.558434,,,53.6042,,28.49,,
2021-10-05 02:35:00.000,5,,26.4154,,,28.22815,,,54.643665,,49.0,,
2021-10-10 07:10:00.000,5,,26.253288,,,27.645441,,,53.899067,,34.17,,
2021-10-16 12:45:00.000,5,,25.5843,,,26.832533,,,52.416267,,26.94,,
2021-10-23 00:30:00.000,5,,26.113234,,,27.742716,,,53.85585,,46.82,,
2021-10-08 21:45:00.000,5,,26.646566,,,28.0395,,,54.68648,,59.8,,
2021-10-17 10:05:00.000,5,,25.426968,,,26.787533,,,52.21455,,31.24,,
2021-10-26 07:15:00.000,5,,26.39175,,,27.740316,,,54.131565,,36.83,,
2021-10-09 06:15:00.000,5,,26.577066,,,27.68355,,,54.260784,,43.51,,
2021-10-31 19:10:00.000,5,,26.38675,,,28.163933,,,54.5496,,35.68,,
2021-10-29 06:35:00.000,5,,26.270733,,,27.13175,,,53.402267,,13.29,,
2021-10-08 18:20:00.000,5,,26.73505,,,22.440983,,,49.176785,,84.16,,
2021-10-30 01:50:00.000,5,,26.3827,,,27.188284,,,53.571083,,53.51,,
2021-10-24 14:35:00.000,5,,26.283766,,,27.8323,,,54.11545,,35.74,,
2021-10-19 04:25:00.000,5,,,,,,,,,,17.3,,
2021-10-18 14:40:00.000,5,,25.636734,,,27.4905,,,53.127083,,14.065,,
2021-10-18 07:35:00.000,5,,25.554594,,,27.311594,,,52.86605,,0.77,,
2021-10-13 04:35:00.000,5,,26.605484,,,27.964434,,,54.569733,,42.26,,
2021-10-15 18:00:00.000,5,,26.659433,,,28.221266,,,54.880585,,76.14,,
2021-10-20 10:50:00.000,5,,,,,,,,,,28.18,,
2021-10-02 20:05:00.000,5,,26.750916,,,28.697186,,,55.448273,,43.875,,
2021-10-18 13:45:00.000,5,,25.322317,,,27.34305,,,52.665085,,26.53,,
2021-10-29 19:10:00.000,5,,26.071817,,,27.585466,,,53.65585,,-7.48,,
2021-10-05 21:35:00.000,5,,26.638384,,,28.415916,,,55.054417,,822.99,,
2021-10-18 13:05:00.000,5,,25.190367,,,27.129868,,,52.320267,,26.91,,
2021-10-23 20:05:00.000,5,,26.383667,,,28.0334,,,54.417034,,52.4,,
2021-10-25 03:10:00.000,5,,26.022034,,,27.924932,,,53.9471,,76.12,,
2021-10-22 14:45:00.000,5,,26.214317,,,27.901533,,,54.1159,,39.8,,
2021-10-08 11:35:00.000,5,,26.660217,,,28.036316,,,54.696365,,46.66,,
2021-10-02 01:10:00.000,5,,26.598734,,,28.247116,,,54.845566,,51.05,,
2021-10-01 21:15:00.000,5,,27.0112,,,28.389017,,,55.401134,,49.78,,
2021-10-17 15:40:00.000,5,,25.51035,,,27.289833,,,52.8001,,35.36,,
2021-10-19 14:50:00.000,5,,,,,,,,,,35.65,,
2021-10-20 19:50:00.000,5,,26.189817,,,28.184767,,,54.3742,,74.31,,
2021-10-02 03:55:00.000,5,,26.500517,,,28.486683,,,54.985867,,45.77,,
2021-10-12 13:55:00.000,5,,26.27145,,,28.197033,,,54.46815,,49.6,,
2021-10-24 01:45:00.000,5,,26.262484,,,27.83555,,,54.098385,,30.39,,
2021-10-28 16:40:00.000,5,,26.5753,,,27.4089,,,53.983482,,19.58,,
2021-10-16 22:05:00.000,5,,25.795784,,,27.791933,,,53.587715,,44.34,,
2021-10-18 04:45:00.000,5,,25.752916,,,27.434217,,,53.187733,,2.39,,
2021-10-18 10:35:00.000,5,,25.09705,,,27.231367,,,52.328632,,25.76,,
2021-10-07 13:40:00.000,5,,26.547167,,,27.904118,,,54.451866,,40.94,,
2021-10-28 06:40:00.000,5,,26.358017,,,27.241083,,,53.599182,,22.11,,
2021-10-15 15:55:00.000,5,,26.7127,,,28.113684,,,54.827034,,56.29,,
2021-10-07 12:05:00.000,5,,26.65825,,,28.031967,,,54.690468,,41.53,,
2021-10-23 06:35:00.000,5,,26.46855,,,27.541267,,,54.008816,,41.56,,
