"Category","Series 1","Active Power","Hashrate","Heat Index","Operational"
Mon Nov 01 2021 00:20:00 GMT-0500 (CDT),,103.26158333333335
Mon Nov 01 2021 00:25:00 GMT-0500 (CDT),,103.29805,1475.140423219146,58.14,20460
Mon Nov 01 2021 00:30:00 GMT-0500 (CDT),,102.66353333333333,1487.7743449859097,58.21,20455
Mon Nov 01 2021 00:35:00 GMT-0500 (CDT),,102.31410000000001,1473.4521182077908,58.17,20112
Mon Nov 01 2021 00:40:00 GMT-0500 (CDT),,102.35355,1475.1941054958893,57.65,20470
Mon Nov 01 2021 00:45:00 GMT-0500 (CDT),,102.5689,1470.4285391681078,57.76,20469
Mon Nov 01 2021 00:50:00 GMT-0500 (CDT),,103.0816,1484.8189040800205,57.52,20462
Mon Nov 01 2021 00:55:00 GMT-0500 (CDT),,103.16213333333333,1499.34150126607,57.51,20460
Mon Nov 01 2021 01:00:00 GMT-0500 (CDT),,103.21911666666666,1507.1798202218934,57.54,20470
Mon Nov 01 2021 01:05:00 GMT-0500 (CDT),,103.35979999999999,1513.778365490785,57.45,20468
Mon Nov 01 2021 01:10:00 GMT-0500 (CDT),,103.38593333333333,1496.9468101964935,57.36,20471
Mon Nov 01 2021 01:15:00 GMT-0500 (CDT),,103.8578,1494.9207900616502,57.22,20469
Mon Nov 01 2021 01:20:00 GMT-0500 (CDT),,103.97200000000001,1508.714609371669,57.36,20466
Mon Nov 01 2021 01:25:00 GMT-0500 (CDT),,104.05856666666666,1519.1438731709509,57.49,20471
Mon Nov 01 2021 01:30:00 GMT-0500 (CDT),,104.01878333333335,1525.4907954641303,57.31,20470
Mon Nov 01 2021 01:35:00 GMT-0500 (CDT),,103.97994736842105,1528.2662919199806,57.34,20466
Mon Nov 01 2021 01:40:00 GMT-0500 (CDT),,104.00450847457628,1531.3040986952492,57.36,20468
Mon Nov 01 2021 01:45:00 GMT-0500 (CDT),,103.99208474576272,1533.4935324539797,57.22,20470
Mon Nov 01 2021 01:50:00 GMT-0500 (CDT),,104.00949999999999,1534.2399139995628,56.97,20467
Mon Nov 01 2021 01:55:00 GMT-0500 (CDT),,103.929,1535.5776297955015,56.75,20469
Mon Nov 01 2021 02:00:00 GMT-0500 (CDT),,103.81838333333333,1536.4447892253097,56.64,20467
Mon Nov 01 2021 02:05:00 GMT-0500 (CDT),,103.59956666666668,1536.3239830429409,56.53,20470
Mon Nov 01 2021 02:10:00 GMT-0500 (CDT),,103.43648333333334,1536.6067264054004,56.53,20470
Mon Nov 01 2021 02:15:00 GMT-0500 (CDT),,103.41348333333333,1537.155067994131,56.52,20470
Mon Nov 01 2021 02:20:00 GMT-0500 (CDT),,103.24981666666667,1537.2631088593187,56.66,20469
Mon Nov 01 2021 02:25:00 GMT-0500 (CDT),,103.56786666666667,1529.2516551285303,56.52,20467
Mon Nov 01 2021 02:30:00 GMT-0500 (CDT),,103.67013559322035,1531.041872054807,56.3,20469
Mon Nov 01 2021 02:35:00 GMT-0500 (CDT),,103.65413333333335,1534.6582033508328,56.5,20463
Mon Nov 01 2021 02:40:00 GMT-0500 (CDT),,103.7647,1536.1263931766787,56.14,20470
Mon Nov 01 2021 02:45:00 GMT-0500 (CDT),,103.73556666666667,1533.6003433455387,55.9,20465
Mon Nov 01 2021 02:50:00 GMT-0500 (CDT),,103.71866666666666,1534.7811556022093,55.96,20464
Mon Nov 01 2021 02:55:00 GMT-0500 (CDT),,103.65386666666667,1535.9686222505916,,20471
Mon Nov 01 2021 03:00:00 GMT-0500 (CDT),,103.63835,1536.5458588381666,55.89,20471
Mon Nov 01 2021 03:05:00 GMT-0500 (CDT),,103.82211666666667,1536.080946648388,55.74,20465
Mon Nov 01 2021 03:10:00 GMT-0500 (CDT),,103.78955,1529.7641718211207,,20471
Mon Nov 01 2021 03:15:00 GMT-0500 (CDT),,103.75743333333334,1531.736649684509,55.62,20458
Mon Nov 01 2021 03:20:00 GMT-0500 (CDT),,103.65326666666667,1532.874854903609,55.49,20468
Mon Nov 01 2021 03:25:00 GMT-0500 (CDT),,103.74993333333333,1520.5123353836934,55.54,20459
