"hour_stump","datacenter_id","datacenter_room_id","miner_model","gigahash/second","miner_count"
2021-10-25 01:10:00.000,2,"3",M30S,52776136,27.071428
2021-10-25 16:40:00.000,2,"3",M30S,53547944,26.5
2021-10-21 03:30:00.000,2,"3",M30S,41390792,37.625
2021-10-31 21:15:00.000,2,"3",M30S,40342996,88.7619
2021-10-29 03:00:00.000,2,"3",M30S,59217396,264.33334
2021-10-07 15:45:00.000,2,"3",M30S,54812900,255.0
2021-10-29 14:50:00.000,2,"3",M30S,58225760,61.866665
2021-10-14 18:45:00.000,2,"3",M30S,56783176,2.5294118
2021-10-11 21:45:00.000,2,"3",M30S,53453304,20.0
2021-10-26 11:10:00.000,2,"3",M30S,53600732,31.307692
2021-10-20 05:05:00.000,2,"3",M30S,53513196,16.818182
2021-10-23 02:25:00.000,2,"3",M30S,51187180,18.842697
2021-10-10 20:05:00.000,2,"3",M30S,45756540,30.0
2021-10-29 08:20:00.000,2,"3",M30S,53954036,56.642857
2021-10-03 16:30:00.000,2,"3",M30S,55137396,255.33333
2021-10-31 08:05:00.000,2,"3",M30S,51509076,123.84615
2021-10-25 11:25:00.000,2,"3",M30S,53547316,120.0
2021-10-08 19:40:00.000,2,"3",M30S,50003376,28.958334
2021-10-03 04:35:00.000,2,"3",M30S,55136568,255.33333
2021-10-02 18:00:00.000,2,"3",M30S,55147168,255.33333
2021-10-11 22:00:00.000,2,"3",M30S,55399688,36.5
2021-10-10 01:20:00.000,2,"3",M30S,53366900,151.0
2021-10-28 03:00:00.000,2,"3",M30S,56161448,264.0
2021-10-17 14:00:00.000,2,"3",M30S,56846148,7.4
2021-10-16 06:00:00.000,2,"3",M30S,56936196,6.0
2021-10-03 21:00:00.000,2,"3",M30S,54767476,255.33333
2021-10-09 08:05:00.000,2,"3",M30S,43300324,46.4
2021-10-31 06:05:00.000,2,"3",M30S,54232656,88.75862
2021-10-28 15:35:00.000,2,"3",M30S,31326148,58.77778
2021-10-25 22:45:00.000,2,"3",M30S,53405700,136.33333
2021-10-23 00:30:00.000,2,"3",M30S,51370076,23.1875
2021-10-13 18:30:00.000,2,"3",M30S,54754928,21.0
2021-10-18 19:00:00.000,2,"3",M30S,56846412,12.333333
2021-10-18 18:15:00.000,2,"3",M30S,56846376,12.0
2021-10-07 19:05:00.000,2,"3",M30S,54582960,255.33333
2021-10-05 04:05:00.000,2,"3",M30S,54973960,255.0
2021-10-26 01:20:00.000,2,"3",M30S,55368752,131.0
2021-10-19 03:45:00.000,2,"3",M30S,49505804,46.408165
2021-10-17 03:30:00.000,2,"3",M30S,56898748,2.3529413
2021-10-06 01:10:00.000,2,"3",M30S,54977208,255.0
2021-10-02 13:00:00.000,2,"3",M30S,55146420,255.33333
2021-10-01 17:30:00.000,2,"3",M30S,55160816,255.33333
2021-10-26 18:45:00.000,2,"3",M30S,53736416,15.862069
2021-10-26 07:50:00.000,2,"3",M30S,52983452,30.222221
2021-10-08 00:45:00.000,2,"3",M30S,40785108,57.5625
2021-10-14 07:05:00.000,2,"3",M30S,56453456,2.5652175
2021-10-07 01:40:00.000,2,"3",M30S,54986392,255.0
2021-10-09 03:50:00.000,2,"3",M30S,53708104,40.35294
2021-10-06 21:30:00.000,2,"3",M30S,54984860,255.0
2021-10-25 11:30:00.000,2,"3",M30S,53547336,120.0
2021-10-19 01:45:00.000,2,"3",M30S,55865976,45.733334
2021-10-27 08:00:00.000,2,"3",M30S,56154760,128.33333
2021-10-30 11:35:00.000,2,"3",M30S,56055740,56.57143
2021-10-25 09:00:00.000,2,"3",M30S,53740328,119.0
2021-10-01 16:10:00.000,2,"3",M30S,55081028,255.33333
2021-10-06 18:55:00.000,2,"3",M30S,54893420,255.0
2021-10-22 18:10:00.000,2,"3",M30S,53512680,18.875
2021-10-17 09:40:00.000,2,"3",M30S,56916760,4.0
2021-10-11 23:40:00.000,2,"3",M30S,40231752,24.789474
2021-10-09 19:30:00.000,2,"3",M30S,55621488,25.972221
2021-10-18 17:25:00.000,2,"3",M30S,56846320,12.333333
2021-10-31 14:40:00.000,2,"3",M30S,49679028,53.0
2021-10-03 02:30:00.000,2,"3",M30S,55054864,255.33333
2021-10-15 13:45:00.000,2,"3",M30S,56680080,3.8181818
2021-10-13 15:25:00.000,2,"3",M30S,54070452,10.5
2021-10-20 06:35:00.000,2,"3",M30S,50396984,46.642857
2021-10-11 23:45:00.000,2,"3",M30S,42116232,21.5
2021-10-24 16:35:00.000,2,"3",M30S,54095092,14.269231
2021-10-08 21:45:00.000,2,"3",M30S,46316572,33.45714
2021-10-15 12:25:00.000,2,"3",M30S,56614076,4.1538463
2021-10-19 02:45:00.000,2,"3",M30S,45712148,36.23077
2021-10-26 07:55:00.000,2,"3",M30S,52969284,18.833334
2021-10-03 23:20:00.000,2,"3",M30S,52524532,255.33333
2021-10-02 22:40:00.000,2,"3",M30S,55036644,255.33333
2021-10-15 06:25:00.000,2,"3",M30S,56774296,3.4736843
2021-10-05 13:55:00.000,2,"3",M30S,54977028,255.0
2021-10-08 23:15:00.000,2,"3",M30S,46945380,27.32258
2021-10-02 17:40:00.000,2,"3",M30S,55147100,255.33333
2021-10-24 09:15:00.000,2,"3",M30S,53767776,21.058823
2021-10-20 13:50:00.000,2,"3",M30S,55309516,62.5
2021-10-12 10:35:00.000,2,"3",M30S,49082612,11.368421
2021-10-27 05:50:00.000,2,"3",M30S,56021404,128.33333
2021-10-18 16:25:00.000,2,"3",M30S,56846208,12.0
2021-10-13 10:25:00.000,2,"3",M30S,55617804,22.0
2021-10-20 07:05:00.000,2,"3",M30S,52161728,45.07143
2021-10-13 23:50:00.000,2,"3",M30S,53280684,2.3137255
2021-10-30 09:45:00.000,2,"3",M30S,56053296,56.57143
2021-10-20 21:10:00.000,2,"3",M30S,40138000,36.314285
2021-10-07 00:05:00.000,2,"3",M30S,54956440,255.0
2021-10-26 17:00:00.000,2,"3",M30S,54042516,14.592592
2021-10-08 18:15:00.000,2,"3",M30S,50702920,230.33333
2021-10-26 22:45:00.000,2,"3",M30S,53345004,34.25
2021-10-14 07:15:00.000,2,"3",M30S,56559596,3.4285715
2021-10-08 22:35:00.000,2,"3",M30S,48702932,85.888885
2021-10-22 16:05:00.000,2,"3",M30S,54538420,20.7
