"hour_stump","datacenter_id","datacenter_room_id","miner_model","gigahash/second","miner_count"
2021-11-14 02:45:00.000,2,"3",M31SI,136169.11,0.21428572
2021-11-04 08:30:00.000,2,"3",M31SI,89559.27,0.21428572
2021-11-26 16:45:00.000,2,"3",M31SI,243087.86,1.0
2021-11-26 11:50:00.000,2,"3",M31SI,243101.69,1.0
2021-11-26 16:30:00.000,2,"3",M31SI,243086.12,1.0
2021-11-01 14:35:00.000,2,"3",M31SI,246425.16,1.0
2021-11-18 17:45:00.000,2,"3",M31SI,243687.88,1.0
2021-11-04 04:50:00.000,2,"3",M31SI,244062.23,1.0
2021-11-10 14:05:00.000,2,"3",M31SI,243703.89,1.0
2021-11-08 17:20:00.000,2,"3",M31SI,74103.32,1.25
2021-11-11 23:15:00.000,2,"3",M31SI,0.0,1.25
2021-11-08 22:30:00.000,2,"3",M31SI,135541.28,1.0
2021-11-12 12:15:00.000,2,"3",M31SI,194845.66,1.0
2021-11-13 13:50:00.000,2,"3",M31SI,199289.03,1.0
2021-11-26 17:15:00.000,2,"3",M31SI,243090.88,1.0
2021-11-19 23:10:00.000,2,"3",M31SI,0.0,0.21428572
2021-11-06 16:45:00.000,2,"3",M31SI,246402.05,1.0
2021-11-01 01:15:00.000,2,"3",M31SI,239114.2,1.0
2021-11-27 09:10:00.000,2,"3",M31SI,243134.95,1.0
2021-11-06 10:45:00.000,2,"3",M31SI,191940.58,1.0
2021-11-08 02:05:00.000,2,"3",M31SI,244987.11,0.21428572
2021-11-16 20:35:00.000,2,"3",M31SI,70206.664,1.3333334
2021-11-11 18:10:00.000,2,"3",M31SI,89291.0,1.0
2021-11-09 22:25:00.000,2,"3",M31SI,102571.82,1.0
2021-11-08 16:50:00.000,2,"3",M31SI,244543.2,1.0
2021-11-15 17:50:00.000,2,"3",M31SI,239791.03,1.0
2021-11-29 03:30:00.000,2,"3",M31SI,243824.6,0.5
2021-11-24 22:10:00.000,2,"3",M31SI,108684.055,0.3888889
2021-11-10 05:55:00.000,2,"3",M31SI,246375.89,1.0
2021-11-20 20:55:00.000,2,"3",M31SI,246222.92,0.21428572
2021-11-11 08:25:00.000,2,"3",M31SI,245257.94,1.0
2021-11-15 02:25:00.000,2,"3",M31SI,106434.31,1.0
2021-11-13 05:00:00.000,2,"3",M31SI,244892.27,1.0
2021-11-16 07:25:00.000,2,"3",M31SI,106461.016,0.7692308
2021-11-20 09:10:00.000,2,"3",M31SI,246719.16,0.23076923
2021-11-06 06:30:00.000,2,"3",M31SI,242754.11,1.0
2021-11-10 10:50:00.000,2,"3",M31SI,78228.3,1.0
2021-11-10 23:45:00.000,2,"3",M31SI,107620.07,0.8181818
2021-11-02 13:25:00.000,2,"3",M31SI,244626.23,0.21428572
2021-11-10 22:45:00.000,2,"3",M31SI,236483.84,1.0
2021-11-28 02:00:00.000,2,"3",M31SI,107583.77,1.0
2021-11-14 04:15:00.000,2,"3",M31SI,0.0,1.6666666
2021-11-21 00:45:00.000,2,"3",M31SI,245511.23,0.21428572
2021-11-24 01:35:00.000,2,"3",M31SI,163443.73,0.3888889
2021-11-30 03:20:00.000,2,"3",M31SI,192200.81,1.0
2021-11-14 16:05:00.000,2,"3",M31SI,196873.38,1.0
2021-11-22 18:35:00.000,2,"3",M31SI,110077.664,0.75
2021-11-12 16:35:00.000,2,"3",M31SI,246328.36,1.0
2021-11-11 00:40:00.000,2,"3",M31SI,107742.984,1.3333334
2021-11-20 23:00:00.000,2,"3",M31SI,245809.88,0.21428572
2021-11-09 21:00:00.000,2,"3",M31SI,57583.11,1.2
2021-11-25 08:35:00.000,2,"3",M31SI,241932.69,1.0
2021-11-11 10:15:00.000,2,"3",M31SI,158886.22,0.21428572
2021-11-07 12:45:00.000,2,"3",M31SI,152887.73,1.0
